,RMSE,MAE
GlobalMean,1.0471752129695335,0.8282406836997198
UserMean,1.0191000417278924,0.7794670791618595
ItemMean,0.9488129919408919,0.7329958435898372
BiasModel,0.8845470086463629,0.6772998350603965
KNN (k=80),0.9526183517802461,0.7205451367596345
MF (d=10),0.8836439736396287,0.6767738598550289
