d,RMSE,MAE
10,0.8269825421585911,0.626827517385169
20,0.8292074970186669,0.628235168310913
50,0.8350611108904753,0.6332221780698251
100,0.8412488461440965,0.6386616334651786
150,0.8442574118357032,0.6415185059110671
200,0.8445732862661952,0.6422913873252779
