k,RMSE,MAE
10,0.8492679891081041,0.6405318295652906
20,0.8339204047609801,0.6294067901960682
40,0.8300351275642234,0.6271275917112109
60,0.8307109132003714,0.6282010650993902
80,0.83193182411923,0.6294846947713367
