,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0
0.5,12,33,130,256,395,471,371,202,32,1
1.0,2,31,182,708,1455,1555,990,402,50,1
1.5,0,9,43,233,613,749,477,173,9,0
2.0,1,5,88,581,2361,3753,2944,976,112,4
2.5,0,1,20,222,1303,2777,2305,785,66,1
3.0,1,0,33,347,2762,10270,13182,5338,489,9
3.5,0,2,12,91,762,4060,8606,4731,442,4
4.0,1,1,8,111,830,5270,16352,15563,2190,48
4.5,0,1,0,17,111,820,3696,6108,1535,32
5.0,0,2,2,33,190,1217,4995,8553,3135,148
