lambda,RMSE,MAE
0.001,0.8422023790812836,0.6367513815812307
0.005,0.8360885501417694,0.6326975015241328
0.01,0.8306779278078213,0.6290815209224595
0.02,0.8287245888111023,0.6280096726982163
0.05,0.8365742096086421,0.6355202410334733
0.1,0.8571738333549743,0.6529853011920338
0.2,0.8733302409285818,0.6675624546324253
